==================================================
Using device: cuda

==================================================
==================================================
GPU: NVIDIA A100-SXM4-40GB

==================================================
==================================================
Model has 4483 paramters

==================================================
Training samples: 102
Test samples:     26
Epoch 197/10000 | Train Loss: 5504.443  | Test Loss: 7.712 | LR: 1.00e-03 | Time: 0.5s
Epoch 198/10000 | Train Loss: 5527.742  | Test Loss: 7.558 | LR: 1.00e-03 | Time: 0.5s
Epoch 199/10000 | Train Loss: 5540.216  | Test Loss: 7.649 | LR: 1.00e-03 | Time: 0.5s
Epoch 200/10000 | Train Loss: 5479.211  | Test Loss: 7.466 | LR: 1.00e-03 | Time: 0.5s
Epoch 201/10000 | Train Loss: 5341.166  | Test Loss: 7.580 | LR: 1.00e-03 | Time: 0.5s
Epoch 202/10000 | Train Loss: 5593.416  | Test Loss: 7.541 | LR: 1.00e-03 | Time: 0.5s
Epoch 203/10000 | Train Loss: 5747.005  | Test Loss: 7.664 | LR: 1.00e-03 | Time: 0.5s
Epoch 204/10000 | Train Loss: 5664.162  | Test Loss: 7.491 | LR: 1.00e-03 | Time: 0.5s
Epoch 205/10000 | Train Loss: 5424.312  | Test Loss: 7.441 | LR: 1.00e-03 | Time: 0.5s
Epoch 206/10000 | Train Loss: 5452.916  | Test Loss: 7.503 | LR: 1.00e-03 | Time: 0.5s
Epoch 207/10000 | Train Loss: 5494.556  | Test Loss: 7.404 | LR: 1.00e-03 | Time: 0.5s
Epoch 208/10000 | Train Loss: 5466.193  | Test Loss: 7.516 | LR: 1.00e-03 | Time: 0.5s
Epoch 209/10000 | Train Loss: 5575.909  | Test Loss: 7.598 | LR: 1.00e-03 | Time: 0.5s
Epoch 210/10000 | Train Loss: 5470.478  | Test Loss: 7.468 | LR: 1.00e-03 | Time: 0.5s
Epoch 211/10000 | Train Loss: 5511.079  | Test Loss: 7.468 | LR: 1.00e-03 | Time: 0.5s
Epoch 212/10000 | Train Loss: 5491.108  | Test Loss: 7.434 | LR: 1.00e-03 | Time: 0.5s
Epoch 213/10000 | Train Loss: 5555.142  | Test Loss: 7.400 | LR: 1.00e-03 | Time: 0.5s
Epoch 214/10000 | Train Loss: 5439.334  | Test Loss: 7.398 | LR: 1.00e-03 | Time: 0.5s
Epoch 215/10000 | Train Loss: 5356.674  | Test Loss: 7.465 | LR: 1.00e-03 | Time: 0.5s
Epoch 216/10000 | Train Loss: 5414.514  | Test Loss: 7.405 | LR: 1.00e-03 | Time: 0.5s
Epoch 217/10000 | Train Loss: 5513.098  | Test Loss: 7.474 | LR: 1.00e-03 | Time: 0.5s
Epoch 218/10000 | Train Loss: 5412.943  | Test Loss: 7.240 | LR: 1.00e-03 | Time: 0.5s
Epoch 219/10000 | Train Loss: 5641.323  | Test Loss: 8.173 | LR: 1.00e-03 | Time: 0.5s
Epoch 220/10000 | Train Loss: 6242.180  | Test Loss: 8.644 | LR: 1.00e-03 | Time: 0.5s
Epoch 221/10000 | Train Loss: 5628.975  | Test Loss: 7.366 | LR: 1.00e-03 | Time: 0.5s
Epoch 222/10000 | Train Loss: 5541.093  | Test Loss: 7.304 | LR: 1.00e-03 | Time: 0.5s
Epoch 223/10000 | Train Loss: 5356.177  | Test Loss: 7.303 | LR: 1.00e-03 | Time: 0.5s
Epoch 224/10000 | Train Loss: 5340.524  | Test Loss: 7.199 | LR: 1.00e-03 | Time: 0.5s
Epoch 225/10000 | Train Loss: 5352.647  | Test Loss: 7.205 | LR: 1.00e-03 | Time: 0.5s
Epoch 226/10000 | Train Loss: 5481.362  | Test Loss: 7.439 | LR: 1.00e-03 | Time: 0.5s
Epoch 227/10000 | Train Loss: 5406.498  | Test Loss: 7.261 | LR: 1.00e-03 | Time: 0.5s
Epoch 228/10000 | Train Loss: 5480.641  | Test Loss: 7.144 | LR: 1.00e-03 | Time: 0.5s
Epoch 229/10000 | Train Loss: 5443.116  | Test Loss: 7.343 | LR: 1.00e-03 | Time: 0.5s
Epoch 230/10000 | Train Loss: 5400.284  | Test Loss: 7.243 | LR: 1.00e-03 | Time: 0.5s
Epoch 231/10000 | Train Loss: 5500.699  | Test Loss: 7.353 | LR: 1.00e-03 | Time: 0.5s
Epoch 232/10000 | Train Loss: 5334.865  | Test Loss: 7.208 | LR: 1.00e-03 | Time: 0.5s
Epoch 233/10000 | Train Loss: 5267.481  | Test Loss: 7.264 | LR: 1.00e-03 | Time: 0.5s
Epoch 234/10000 | Train Loss: 5309.252  | Test Loss: 7.172 | LR: 1.00e-03 | Time: 0.5s
Epoch 235/10000 | Train Loss: 5419.480  | Test Loss: 7.132 | LR: 1.00e-03 | Time: 0.5s
Epoch 236/10000 | Train Loss: 5289.257  | Test Loss: 7.293 | LR: 1.00e-03 | Time: 0.5s
